arm,estimator,region_rg,N,n_regions,region_size,reps,est_mean,est_sd,realized_mean,bias,rmse,cc_mean,separation_d
ldsc,postmean,0.0,50000,40,50,10,0.5178,0.2314,-0.0008,0.5186,0.5552,-0.6173,2.231
ldsc,postmean,0.4,50000,40,50,10,0.7255,0.1545,0.4108,0.3147,0.3434,-0.6173,2.231
ldsc,postmean,0.8,50000,40,50,10,0.8953,0.0611,0.7977,0.0976,0.1196,-0.6173,2.231
joint,sampled,0.0,50000,40,50,10,0.1047,0.1572,-0.0008,0.1056,0.135,0.4384,4.633
joint,sampled,0.4,50000,40,50,10,0.3983,0.1436,0.4108,-0.0125,0.0753,0.4384,4.633
joint,sampled,0.8,50000,40,50,10,0.6742,0.0742,0.7977,-0.1235,0.1332,0.4384,4.633
joint,postmean,0.0,50000,40,50,10,0.0355,0.1887,-0.0008,0.0364,0.0974,0.4384,4.709
joint,postmean,0.4,50000,40,50,10,0.3923,0.1726,0.4108,-0.0185,0.0825,0.4384,4.709
joint,postmean,0.8,50000,40,50,10,0.7261,0.0861,0.7977,-0.0716,0.0905,0.4384,4.709
oracle,sampled,0.0,50000,40,50,10,0.1162,0.1576,-0.0008,0.117,0.1441,0.4,4.573
oracle,sampled,0.4,50000,40,50,10,0.4068,0.1422,0.4108,-0.004,0.0744,0.4,4.573
oracle,sampled,0.8,50000,40,50,10,0.6776,0.0728,0.7977,-0.12,0.1297,0.4,4.573
oracle,postmean,0.0,50000,40,50,10,0.0547,0.1894,-0.0008,0.0556,0.1056,0.4,4.651
oracle,postmean,0.4,50000,40,50,10,0.408,0.1705,0.4108,-0.0028,0.0788,0.4,4.651
oracle,postmean,0.8,50000,40,50,10,0.7356,0.0835,0.7977,-0.0621,0.0813,0.4,4.651
